ONET_SOC_Code,Base_SOC,ONET_Title,FO_Score,FO_Probability,FO_Occupation,Mapping_Method
43-9071.00,43-9071,"Office Machine Operators, Except Computer",92.0,0.92,Office Machine Operators; Except Computer,direct
43-9081.00,43-9081,Proofreaders and Copy Markers,84.0,0.84,Proofreaders and Copy Markers,direct
43-9111.00,43-9111,Statistical Assistants,66.0,0.66,Statistical Assistants,direct
43-9199.00,43-9199,"Office and Administrative Support Workers, All Other",66.0,0.66,[Group avg: 43-91],group_avg
45-1011.00,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",57.0,0.57,First-Line Supervisors of Farming; Fishing; and Forestry Workers,direct
45-2011.00,45-2011,Agricultural Inspectors,94.0,0.94,Agricultural Inspectors,direct
45-2021.00,45-2021,Animal Breeders,95.0,0.95,Animal Breeders,direct
45-2041.00,45-2041,"Graders and Sorters, Agricultural Products",41.0,0.41,Graders and Sorters; Agricultural Products,direct
45-2091.00,45-2091,Agricultural Equipment Operators,79.25,0.7925,[Group avg: 45-20],group_avg
45-2092.00,45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",79.25,0.7925,[Group avg: 45-20],group_avg
45-2093.00,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",79.25,0.7925,[Group avg: 45-20],group_avg
45-2099.00,45-2099,"Agricultural Workers, All Other",79.25,0.7925,[Group avg: 45-20],group_avg
45-3031.00,45-3031,Fishing and Hunting Workers,80.0,0.8,[Group avg: 45-30],group_avg
45-4011.00,45-4011,Forest and Conservation Workers,87.0,0.87,Forest and Conservation Workers,direct
45-4021.00,45-4021,Fallers,76.0,0.76,Fallers,direct
45-4022.00,45-4022,Logging Equipment Operators,79.0,0.79,Logging Equipment Operators,direct
45-4023.00,45-4023,Log Graders and Scalers,97.0,0.97,Log Graders and Scalers,direct
45-4029.00,45-4029,"Logging Workers, All Other",84.75,0.8475,[Group avg: 45-40],group_avg
47-1011.00,47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,17.0,0.17,First-Line Supervisors of Construction Trades and Extraction Workers,direct
47-1011.03,47-1011,Solar Energy Installation Managers,17.0,0.17,First-Line Supervisors of Construction Trades and Extraction Workers,direct
47-2011.00,47-2011,Boilermakers,68.0,0.68,Boilermakers,direct
47-2021.00,47-2021,Brickmasons and Blockmasons,82.0,0.82,Brickmasons and Blockmasons,direct
47-2022.00,47-2022,Stonemasons,89.0,0.89,Stonemasons,direct
47-2031.00,47-2031,Carpenters,72.0,0.72,Carpenters,direct
47-2041.00,47-2041,Carpet Installers,87.0,0.87,Carpet Installers,direct
